NUM,YEAR,CGPI_BAU,CP_BAU,EXC_BAU,GDP_BAU,MC_BAU,PC_BAU,SETAI_BAU,U_BAU,CGPI_HI,CP_HI,EXC_HI,GDP_HI,MC_HI,PC_HI,SETAI_HI,U_HI
1,2001,94.6916656494141,268881.09375,43300.19921875,461747.1875,58423.69921875,107.345001220703,48638,340,94.6916656494141,268881.09375,43300.19921875,461747.1875,58423.69921875,107.345001220703,48638,340
2,2002,92.7583312988281,271953.3125,48532.80078125,465846.09375,61189,106.013999938965,49261,359,92.7583312988281,271953.3125,48532.80078125,465846.09375,61189,106.013999938965,49261,359
3,2003,91.9416656494141,273850.09375,53334,474930.5,62616.30078125,104.974998474121,49838,350,91.9416656494141,273850.09375,53334,474930.5,62616.30078125,104.974998474121,49838,350
4,2004,93.1467,277097,59578.1015625,482962,68091.6015625,104.477996826172,50382,313,93.1416702270508,277097,59578.1015625,482962,68091.6015625,104.477996826172,50382,313
5,2005,94.6416702270508,281427,65228.80078125,492526.09375,72284.203125,104.082000732422,51102,294,94.6416702270508,281427,65228.80078125,492526.09375,72284.203125,104.082000732422,51102,294
6,2006,96.7333297729492,283493.59375,70896.203125,499433.40625,74872.703125,103.916999816895,51713,275,96.7333297729492,283493.59375,70896.203125,499433.40625,74872.703125,103.916999816895,51713,275
7,2007,98.408332824707,285850.5,77607.203125,505429.09375,76698.5,103.845001220703,52324,257,98.408332824707,285850.5,77607.203125,505429.09375,76698.5,103.845001220703,52324,257
8,2008,102.908332824707,280054.6875,69656.3984375,488074.6875,73338,104.056999206543,52877,265,102.908332824707,280054.6875,69656.3984375,488074.6875,73338,104.056999206543,52877,265
9,2009,97.5083312988281,282488.5,63394,477431.59375,65525.80078125,101.570999145508,53363,336,97.5083312988281,282488.5,63394,477431.59375,65525.80078125,101.570999145508,53363,336
10,2010,97.408332824707,286647,74749.1015625,493029.6875,73434.8984375,100.38200378418,53783,334,97.408332824707,286647,74749.1015625,493029.6875,73434.8984375,100.38200378418,53783,334
11,2011,98.8000030517578,288796.59375,73571.203125,495280.09375,77247,99.9459991455078,54171,302,98.8000030517578,288796.59375,73571.203125,495280.09375,77247,99.9459991455078,54171,302
12,2012,97.9499969482422,293396.59375,72387.6015625,499323.90625,80155.703125,99.1269989013672,55577.5625,285,97.9499969482422,293396.59375,72387.6015625,499323.90625,80155.703125,99.1269989013672,55577.5625,285
13,2013,99.1666641235352,301514.1875,75583.296875,512534.6875,85867.1015625,99.4369964599609,55952,265,99.1666641235352,301514.1875,75583.296875,512534.6875,85867.1015625,99.4369964599609,55952,265
14,2014,102.349998474121,293681.1875,82192.203125,510704,89506.796875,101.627998352051,56412.140625,236,102.349998474121,293681.1875,82192.203125,510704,89506.796875,101.627998352051,56412.140625,236
15,2015,100.008331298828,295660.90625,82869.203125,517223.3125,89904.203125,101.564002990723,56950.7578125,222,100.008331298828,295660.90625,82869.203125,517223.3125,89904.203125,101.564002990723,56950.7578125,222
16,2016,96.5,295529.6875,85895.6015625,521962.90625,89122.6015625,101.136001586914,57477.03515625,208,96.5,295529.6875,85895.6015625,521962.90625,89122.6015625,101.136001586914,57477.03515625,208
17,2017,101.275001525879,298881.1875,91422.296875,532033.6875,92624.703125,101.464996337891,58007.53515625,190,101.275001525879,298881.1875,91422.296875,532033.6875,92624.703125,101.464996337891,58007.53515625,190
18,2018,101.466667175293,299090.5,92978.5,533408.1875,94990,101.903999328613,58527.1171875,166,101.466667175293,299090.5,92978.5,533408.1875,94990,101.903999328613,58527.1171875,166
19,2019,102.279223017489,295131.957817074,93149.0630981006,525775.716736012,97575.2797437604,103.242816362039,58615.3858257995,148.699476515407,102.279223017489,295131.957817074,93149.0630981006,525775.716736012,97575.2797437604,103.242816362039,58615.3858257995,148.699476515407
20,2020,98.7771775378388,279808.344836363,86687.9114610708,498551.118406838,95671.9394591433,102.888933970859,58705.2391220821,181.500207331802,98.5793510857609,287506.121602311,93486.923540006,519575.602062735,99722.2440068108,102.912091292785,58749.6070220821,178.408687843969
21,2021,100.162388217063,280049.435838931,90574.2473377947,501094.338867588,98969.106107022,103.17513148082,58796.4433757904,204.476468528784,98.6663827656655,306288.259175351,100349.923091993,553123.364843705,109403.219042053,100.573027113981,58885.1791757904,189.62809439364
22,2022,100.112552390535,276751.787194655,93703.8633301974,496280.412024039,100948.532974588,104.462854017898,58888.9996909771,198.253342048576,97.110303124333,314959.508788584,107050.906061364,568772.579075698,116190.446636367,97.882060027843,59007.3140909771,174.085780102368
